video_id,author,comment,label,label_source
g_fkq6WHcOs,@DesiCahaya-c7r,Gambar kebaretnya boongan ternyata,0,manual_initial_30percent
g_fkq6WHcOs,@CelineElviraNatalia,"Buat pemakai biasa sama saja iphone 16 promax,  beda genggsi  saja  kameranya ??",0,manual_initial_30percent
g_fkq6WHcOs,@borisdominggo,Case poco&quot; ??,1,manual_initial_30percent
g_fkq6WHcOs,@noname-jb4rz,Kaum miFans dan kaum munafik iri dengki lg kumpul sibuk ngehujat iphone....!!!!??????<br>Tetap aja iphone 17 promax bakal laris drpd flagship android manapun didunia apalagi cuma xiaomi 17 promax doank....eemmmeeeeehhhh..<br>????????????,0,manual_initial_30percent
g_fkq6WHcOs,@SIAPA-e8b,Saya mah nunggu S26 Ultra aja,0,manual_initial_30percent
g_fkq6WHcOs,@gunturanas3306,bump kamera nyontek xiaomi mi 11 ultra tahun 2021... ??,0,manual_initial_30percent
g_fkq6WHcOs,@hutanmenyapa,Ampas ini bang.. Inovasinya apa??,0,manual_initial_30percent
g_fkq6WHcOs,@RioDuan-v1i,"<a href=""https://www.youtube.com/watch?v=g_fkq6WHcOs&amp;t=424"">7:04</a> ipone pakai software android Google Maps cokk",0,manual_initial_30percent
g_fkq6WHcOs,@anto5lima315,wow,2,manual_initial_30percent
g_fkq6WHcOs,@bayujr6109,citibank,1,manual_initial_30percent
g_fkq6WHcOs,@elliej.97,"Masalah ambil video klo ga puas sama fitur bawaan tinggal install Blackmagic Camera siih. Smart phone, smart user.",2,manual_initial_30percent
g_fkq6WHcOs,@vinza05-t9n,"HP SEKARANG KAMERANYA 50MP, 40 MP , 30MP <br>STORAGE 512GB, 1 TB <br>TAPI YOUTUBER WAKTU RECORD PAKEK KAMERA DSLR<br>WAKTU ADA HAJATAN JUGA PAKEK KAMERA DSLR <br>????????????",1,manual_initial_30percent
g_fkq6WHcOs,@AlfinKubayu,Masih ad flare kah??,0,manual_initial_30percent
g_fkq6WHcOs,@ADIYAN_24,"<a href=""https://www.youtube.com/watch?v=g_fkq6WHcOs&amp;t=277"">4:37</a> reyal dikasih stiker poco??",0,manual_initial_30percent
g_fkq6WHcOs,@GaziAli-o8k,make adaptor apa bang,1,manual_initial_30percent
g_fkq6WHcOs,@radityawaliulu,"Gue (?&#39;,&#39;?) suka (?&#39;o&#39;)? gaya lo ! ..<br><br>langsung di detik 20 to the point, intermezo di singkat hanya 10 detik pertama, 10 detik kedua perbandingan.<br>g buang buang kuota seperti David gadetin saat ini.<br>????(? ? ? - ? ) ?",1,manual_initial_30percent
g_fkq6WHcOs,@INDONKONOHAKORUPSI,"Mending lu beli samsung z fold 7 , lebih worthed",0,manual_initial_30percent
g_fkq6WHcOs,@cece25-v5i,serius mo tanya apa kamera ip 17 sudah bisa gonta ganti kamera dari depan ke belakang posisi video on seperti s24 ultra. Semoga di jawab,1,manual_initial_30percent
g_fkq6WHcOs,@Arisinnew,nonton video dari chanel youtuber cupu dari subscriber nya 90rb skrng udah 700rb aja,1,manual_initial_30percent
g_fkq6WHcOs,@taufikalfarizi4264,"BAAANGGG, PLEASE BIKIN VIDEO COMPARE IPHONE 17 PRO MAX SAMA XIAOMI 17 PRO MAX??????????????????????????????????????????????",1,manual_initial_30percent
g_fkq6WHcOs,@Mazino1256,team iPhone 17 reguler ?,2,manual_initial_30percent
g_fkq6WHcOs,@jackisstori99,"Nice sih thumbnail nya, yg ptg klik aja dulu??",2,manual_initial_30percent
g_fkq6WHcOs,@NoirKuro-b8d,batrei iphone 17 pro max Gila sih bisa smpe 11 jam kurang 5 mnit,2,manual_initial_30percent
g_fkq6WHcOs,@sinyofebri9573,Susah nih ntr cari iphone 17 pro seken like new,1,manual_initial_30percent
g_fkq6WHcOs,@harianchannelqu,bang coba goreng pakai kater kayak bang jerry,1,manual_initial_30percent
g_fkq6WHcOs,@BUKANBOTCUK,jelek seh ipon,0,manual_initial_30percent
