video_id,author,comment,Unnamed: 3,model_label,model_confidence,prob_negative,prob_neutral,prob_positive,confidence_level,uncertainty,human_label,verified,verification_notes
9-poYwCZxDQ,@blackboxmusic7667,si bimo pd udah punya 2 malah??,,1,0.350445563,0.323548761,0.350445563,0.326005676,low,0.649554437,1,TRUE,
9-poYwCZxDQ,@suliztyoalfajri3388,Bissmillah segera kebeli ini HP ??,,2,0.351391309,0.324459,0.324149691,0.351391309,low,0.648608691,2,TRUE,
9-poYwCZxDQ,@Maung_beureum,Semoga yg mau beli hp ini dipermudah Allah,,2,0.351719685,0.31522432,0.333055995,0.351719685,low,0.648280315,2,TRUE,
9-poYwCZxDQ,@housemixfunkyhotdance,Warna Orange nya mengingatkan pada ponsel Sony Ericsson seri Walkman W610i... ??????,,2,0.355269115,0.306347315,0.33838357,0.355269115,low,0.644730885,1,TRUE,
9-poYwCZxDQ,@yuliamargaretha6019,sabar dlu ga sih Iphone 11 kuuuuu??,,0,0.355967858,0.355967858,0.302014474,0.342017667,low,0.644032142,1,TRUE,
9-poYwCZxDQ,@egatingas6493,Gw 10 juli kmren ambil ip 16 bs tp mau up ke 17 lg smogaaa cepet rilis di indoo,,2,0.356762812,0.341308672,0.301928516,0.356762812,low,0.643237188,2,TRUE,
O2xb1lVqUv4,@irvan_syh,"pengalaman ku sebagai user ip dan andro :<br>ip 11 dan 13 ku : pdhal pemakaian gw elus2 mulu jarang gw pake ,lcd nya tiba2 garis<br>samsung a15 5g : pemakaian 1 tahun ,buat  game + sosmed + hp utama  . sampai skrng lancar dan enak <br>tecno go 1 : buat gaming ml lancar dan batrei tahan lama<br><br>inget guys smua itu pengalaman gw ,bukan menjatuhkan tapi realita",,1,0.35824594,0.358053958,0.35824594,0.283700102,low,0.64175406,1,TRUE,
9-poYwCZxDQ,@alieffahrizal,first dapat hp sabi kali yaa,,0,0.359950225,0.359950225,0.30914408,0.330905695,low,0.640049775,1,TRUE,
9-poYwCZxDQ,@Spin_The_BlackCircle,Habis baca komen2.. Iseng nanya gemini.. Siapa yang lebih berpendidikan pengguna Apple atau pengguna Android di seluruh dunia.<br>Keheranan saya langsung terjawab ??,,0,0.360788386,0.360788386,0.343860491,0.295351123,low,0.639211614,0,TRUE,
9-poYwCZxDQ,@QanitaandFamilyOfficial,gila orang pajak wow bgt,,0,0.361885165,0.361885165,0.307052209,0.331062626,low,0.638114835,0,TRUE,
