video_id,author,comment,
O2xb1lVqUv4,@rsa2147,"<a href=""https://www.youtube.com/watch?v=O2xb1lVqUv4&amp;t=2317"">38:37</a> 1 lgi. Google maps yg susah bikin tandingannya, apple aja blm bisa , masih blm menyamai gmaps",
O2xb1lVqUv4,@AntingWulanKuliner,Ngapain beli iphon yg harga nya menjajah??????????<br><br>Mendingan beli Huawei super canggih harga merakyat <br>???????????????,
O2xb1lVqUv4,@GateofNusantara,Hp China udh bagus2 dan tahan lama. Kamera juga hardwardnya gila-gilaan. Kalau ganti komponen biayanya juga tidak semahal iPhone,
O2xb1lVqUv4,@sabilurrosyidtowilliam7163,"Kalo Kualitasnya Semua Brand Android dari segi Jangka Panjang, OSnya, Kamera/Videonya Sebanding sama Iphone bagusnya.. aku yakin Penjualan iphone pasti bakal menurun besar&quot;an, Karena sekarang apple bukan di era Stve Jobs sprti dulu lagi inovasinya agak kurang.",
O2xb1lVqUv4,@nodengki,Brand HP paling worth it yg pernah sy pinang.<br>LG dan Huawei. Worth it every penny.,
O2xb1lVqUv4,@IlhamMab,"Yg gak tergantung kayaknya saya dah, iphone saya gak minat, saya pecinta android, lebih simpel dan apk melimpah..dan tentunya android linux brow",
O2xb1lVqUv4,@agusprbw9493,"Ya bisa rugi besar beli hp canggih iphone cuma agar di wah orang , hp canggih jika nggah dipake usaha rugi , saya mengira hp iphone itu nggak bisa rusak dengan harga yg cukup mahal , tapi jika rusak sperpatnya mahal",
O2xb1lVqUv4,@anakjalanan247,Om ded,
O2xb1lVqUv4,@pedagangmainan,Menarik,
O2xb1lVqUv4,@ahmatruslan3993,ad aplikasi dari kerjaan Saya butuh google gk bisa klo gk ad googlenya jadi susah saya klo pakai huawei,
O2xb1lVqUv4,@lietjiemin667,"Xiaomi 17 pro  , sdh sama bro???????",
O2xb1lVqUv4,@mummilamummy,Saya pake iphone karena takut phising,
O2xb1lVqUv4,@RakaSiwi-j4n2m,True religion,
O2xb1lVqUv4,@siswononggaya4010,"3gs pertama pakai iphone ipod ios 3 , ipad2 terahir iphone 5s.",
O2xb1lVqUv4,@DavidVilla-z7r,ceng cengan nama bokap van jagat van jagat ?? tetap konsisten bahas pc ????,
O2xb1lVqUv4,@BONUSBUATMEMBERBARU_SQUAD777,"Lo tuh punya potensi gede banget, jangan berhenti",
O2xb1lVqUv4,@bluecourage656,FYI Xiaomi dulu awlamya itu software yang bisa diinstal di banyak hp android ??,
O2xb1lVqUv4,@rachmanqelik7225,"&quot;apalagi yg warnanya orange,       ....     kayak bapak itu&quot;",
O2xb1lVqUv4,@rickysalim7099,Dedi Irvan kalau lagi review produk lebih mirip kayak orang lagi jualan produk ??,
O2xb1lVqUv4,@ridhobaihaqi144,"Dan saya gak peduli teknologi mereka.<br><br>Karena terlalu cepat mengembangkan teknologi... makin tinggi juga sampah elektronik, limbah B3, tingkat kemalasan, efek terhadap psikologi, ekosistem, dsb.",
O2xb1lVqUv4,@medx15531,Layar lipat Huawei dari perusahaan china BOE   Bukan samsung,
O2xb1lVqUv4,@deadwood2656,iphone 17 sampah... ngk ad inovasi,
O2xb1lVqUv4,@HasanOnter,"Sebagai pengguna Ip, memakai IOS itu lebih praktis, fungsional, aman dan simple daripada Android. Ini satu-satunya alasan saya mengapa masih bertahan menggunakan Ip. Karena dibandingkan dengan sistem Android, banyak instrumen dan variabel yang ada disana, misalnya sistemnya MUI milik Xiaomi yang banyak iklan dll. Back up data hp, dan mengganti hp, itu sangat2 lebih mudah dan simple jika dilakukan dengan sistem IOS, kemudian belum masalah keamanan dll. Kalau soal kecanggihan, fitur dan inovasi hp dengan basis android menawarkan sesuatu yang lebih ketimbang ip yang begitu begitu saja....... dan benar, ciri khas inovasi dari ip mati semenjak steve jobs meninggal dunia. Adapun pembaharuan ip setiap tahun ini sebenarnya standar2 saja, seperti kameralah, itu lah, kebanyakan gimik yang blm tentu kita butuhkan untuk produktifitas. dan heran juga reviewer yg khusus bahas ip sering lebay melihat itu semua. padahal ya jujur biasa aja pembaharuan ip.",
O2xb1lVqUv4,@ekawang5197,"Saya sudah beli poco X3 dari awal keluar..., sudah 4 tahun lbh..., pengen banget ganti hp, tapi hp lama gue masih normal2 saja kinerjanya... , spek masih termasuk ok untuk jaman sekarang , ram 8 , android up sampai 12 ???? , irit yahh... , padahal sekarang sudah keluar sampai poco X7 ... , ??",
O2xb1lVqUv4,@achmadfaisal772,Mudah - mudahan episode selanjutnya om Helmi Yahya bisa mengundang bang David gadgetin,
O2xb1lVqUv4,@kaponbanget,Dagingnya banyak,
O2xb1lVqUv4,@databasetarakan4385,"Izin masukan , pak helmi sering kedapatan memotong pembicaraan narasumber, padahal yang akan disampaikan narasumber adalah hal penting, akibat dipotong sebelum selesai (bahkan baru mulai) disampaikan, akhrinya narasumber memilih tidak menyampaikan, ini sayang sekali, mungkin penyampaian saya tidak membuat nyaman, tapi saya sangat mendukung pak helmi untuk jadi lebih baik",
O2xb1lVqUv4,@filmgratis5552,iphone 17 vs xiaomi 17 pro max seru nih ??,
O2xb1lVqUv4,@ARyan_id,Rame obrolannya,
O2xb1lVqUv4,@lancergt1000,"<a href=""https://www.youtube.com/watch?v=O2xb1lVqUv4&amp;t=1160"">19:20</a> HP flagship China kamera selfienya sengaja jelek untuk mendorong orang beli HP spesialis selfie jadi HP kedua, kyk Vivo V series atau Oppo Reno series",
O2xb1lVqUv4,@NikoMaulana111,"Smooth nya di mata sama sentuhan layar iphone yg gk ada di android ... Adik gw pakek ROG , gw pakai iphone 13 aja , masih smooth ip 13",
O2xb1lVqUv4,@nopehope6594,"Ngga layak! Hp 1,5 - 2 jutaan speknye deh bagus². Isinye juga sm aje... WhatsApp, Tiktok, Instagram, Facebook dll.",
O2xb1lVqUv4,@AgusWibowo-d5f,"setuju banget dengan penjelASANnya,bahwa samsung itu brand identity,yang sudah tau arah tujuan dan  konsepnya seperti apa.mangkanya sebagian orang merasa desainnya kayak monoton dan ngebosenin.koreksi bila saya salah",
O2xb1lVqUv4,@iwandotulong2765,Sy sdh pake iPhone 17  pro Max 1 Terra lapor ke komdigi bayar 5.5jt bebas kemana2.,
O2xb1lVqUv4,@zakyaja.3380,Sy sebagai pengguna hp android dan tk service abal abal hp paling bandel adalah hp vivo,
O2xb1lVqUv4,@Panda-Terkilir,"tmn facebook gw ini, skrng udah jadi org tekno papan atas dari jaman CHIP sih",
O2xb1lVqUv4,@rickoroman,Selalu menyenangkan ketika mendengar story telling Paman Dedy Irvan.,
O2xb1lVqUv4,@javiers7123,"Sepengalaman saya,Kualitas audio apple music blom ada yg bisa nandingi.",
O2xb1lVqUv4,@Basori123-lb3lb,HP katanya bagus tapi tak sebagus mereka kira.. <br>Dan HP jelek ngak semuanya jelek,
O2xb1lVqUv4,@azismisbatul8554,Daging semua ini pembahasan ??,
O2xb1lVqUv4,@CalonProfesor-u8w,xiaomi 17 pro max dong om,
O2xb1lVqUv4,@farriskaikhsan258,"pengetahuan ini ttg HP, sangat didapatkan dari Mas Dedi,tp pengetahuan seperti ini tdk didapatkan dari narasumber yg berkecimpung di dunia mobil, yg mana brand cina jg sangat masif,, <br><br>terimakasih Pak helmi, yg sdh , membuka cakrawala Hp melewati mas Dedi",
O2xb1lVqUv4,@LuuDazzle-pp1sv,Nonton podcast mas helm pake hp Huawei P40 pro,
O2xb1lVqUv4,@yudiwah7738,Saya yang kebutuhan nya cuma WA yt doang. <br>Gak butuh HP puluhan juta 3-5juta udah cukup banget?? <br>Kalo kamera ya pake mirrorless aja ?? kan kebutuhan spesifik,
