comment,cleaned_comment,case_folding,normalization,label,text_en
Gambar kebaretnya boongan ternyata,Gambar kebaretnya boongan ternyata,gambar kebaretnya boongan ternyata,gambar kebaretnya boongan ternyata,0,It turns out the picture of the car is boongan
"Buat pemakai biasa sama saja iphone 16 promax,  beda genggsi  saja  kameranya ??",Buat pemakai biasa sama saja iphone 16 promax  beda genggsi  saja  kameranya ,buat pemakai biasa sama saja iphone 16 promax  beda genggsi  saja  kameranya ,buat pemakai biasa sama saja iphone 16 promax beda genggsi saja kameranya,0,"For ordinary users, the iPhone 16 Promax is just the same, the camera is different"
Case poco&quot; ??,Case pocoquot ,case pocoquot ,case pocoquot,1,case pocoquot
Kaum miFans dan kaum munafik iri dengki lg kumpul sibuk ngehujat iphone....!!!!??????<br>Tetap aja iphone 17 promax bakal laris drpd flagship android manapun didunia apalagi cuma xiaomi 17 promax doank....eemmmeeeeehhhh..<br>????????????,Kaum miFans dan kaum munafik iri dengki lg kumpul sibuk ngehujat iphoneTetap aja iphone 17 promax bakal laris drpd flagship android manapun didunia apalagi cuma xiaomi 17 promax doankeemmmeeeeehhhh,kaum mifans dan kaum munafik iri dengki lg kumpul sibuk ngehujat iphonetetap aja iphone 17 promax bakal laris drpd flagship android manapun didunia apalagi cuma xiaomi 17 promax doankeemmmeeeeehhhh,kaum mifans dan kaum munafik iri dengki lagi kumpul sibuk menghujat iphonetetap saja iphone 17 promax bakal laris daripada flagship android manapun didunia apalagi cuma xiaomi 17 promax doankeemmmeeeeehhhh,0,"Mifans and jealous hypocrites are gathered together and busy blaspheming the iPhone. Still, the iPhone 17 Promax will sell better than any Android flagship in the world, especially just the Xiaomi 17 Promax, doankeemmmeeeeehhhh"
Saya mah nunggu S26 Ultra aja,Saya mah nunggu S26 Ultra aja,saya mah nunggu s26 ultra aja,saya mah menunggu s26 ultra saja,0,I'm just waiting for the S26 Ultra
bump kamera nyontek xiaomi mi 11 ultra tahun 2021... ??,bump kamera nyontek xiaomi mi 11 ultra tahun  ,bump kamera nyontek xiaomi mi 11 ultra tahun  ,bump kamera nyontek xiaomi mi 11 ultra tahun,0,Xiaomi Mi 11 Ultra cheat camera bump
Ampas ini bang.. Inovasinya apa??,Ampas ini bang Inovasinya apa,ampas ini bang inovasinya apa,ampas ini abang inovasinya apa,0,What innovation is this dregs bro?
"<a href=""https://www.youtube.com/watch?v=g_fkq6WHcOs&amp;t=424"">7:04</a> ipone pakai software android Google Maps cokk",a href ipone pakai software android Google Maps cokk,a href ipone pakai software android google maps cokk,a href iphone pakai software android google maps cokk,0,a href iphone pakai software android google maps cokk
wow,wow,wow,wow,2,wow
citibank,citibank,citibank,citibank,1,citibank
"Masalah ambil video klo ga puas sama fitur bawaan tinggal install Blackmagic Camera siih. Smart phone, smart user.",Masalah ambil video klo ga puas sama fitur bawaan tinggal install Blackmagic Camera siih Smart phone smart user,masalah ambil video klo ga puas sama fitur bawaan tinggal install blackmagic camera siih smart phone smart user,masalah ambil video kalau tidak puas sama fitur bawaan tinggal install blackmagic camera sih smart phone smart user,2,"If you're not satisfied with the built-in features, just install BlackMagic Camera, if you're a smart phone user"
"HP SEKARANG KAMERANYA 50MP, 40 MP , 30MP <br>STORAGE 512GB, 1 TB <br>TAPI YOUTUBER WAKTU RECORD PAKEK KAMERA DSLR<br>WAKTU ADA HAJATAN JUGA PAKEK KAMERA DSLR <br>????????????",HP SEKARANG KAMERANYA 50MP 40 MP  30MP STORAGE 512GB 1 TB TAPI YOUTUBER WAKTU RECORD PAKEK KAMERA DSLRWAKTU ADA HAJATAN JUGA PAKEK KAMERA DSLR ,hp sekarang kameranya 50mp 40 mp  30mp storage 512gb 1 tb tapi youtuber waktu record pakek kamera dslrwaktu ada hajatan juga pakek kamera dslr ,hp sekarang kameranya 50mp 40 mp 30mp storage 512gb 1 tb tapi youtuber waktu record pakai kamera dslrwaktu ada hajatan juga pakai kamera dslr,1,"cellphones now have 50mp 40mp 30mp cameras 512gb 1tb storage but when recording YouTubers use DSLR cameras, when there are celebrations they also use DSLR cameras"
Masih ad flare kah??,Masih ad flare kah,masih ad flare kah,masih ada flare kah,0,are there still flares?
"<a href=""https://www.youtube.com/watch?v=g_fkq6WHcOs&amp;t=277"">4:37</a> reyal dikasih stiker poco??",a href reyal dikasih stiker poco,a href reyal dikasih stiker poco,a href reyal dikasih stiker poco,0,A href Reyal was given a Poco sticker
make adaptor apa bang,make adaptor apa bang,make adaptor apa bang,memakai adaptor apa abang,1,What adapter do you use bro?
"Gue (?&#39;,&#39;?) suka (?&#39;o&#39;)? gaya lo ! ..<br><br>langsung di detik 20 to the point, intermezo di singkat hanya 10 detik pertama, 10 detik kedua perbandingan.<br>g buang buang kuota seperti David gadetin saat ini.<br>????(? ? ? - ? ) ?",Gue 3939 suka 39o39 gaya lo  langsung di detik 20 to the point intermezo di singkat hanya 10 detik pertama 10 detik kedua perbandingang buang buang kuota seperti David gadetin saat ini      ,gue 3939 suka 39o39 gaya lo  langsung di detik 20 to the point intermezo di singkat hanya 10 detik pertama 10 detik kedua perbandingang buang buang kuota seperti david gadetin saat ini      ,gue 3939 suka 39o39 gaya lo langsung di detik 20 tapi the point intermezo di singkat hanya 10 detik pertama 10 detik kedua perbandingang buang buang kuota seperti david gadetin saat ini,1,I'm 3939 like 39o39 your style is straight at 20 seconds but the point of the interval is short only the first 10 seconds the second 10 seconds comparison waste waste quota like David Gadetin at the moment
"Mending lu beli samsung z fold 7 , lebih worthed",Mending lu beli samsung z fold 7  lebih worthed,mending lu beli samsung z fold 7  lebih worthed,mending kamu beli samsung saja fold 7 lebih worthed,0,"It's better if you just buy a Samsung Fold 7, it's more worth it"
serius mo tanya apa kamera ip 17 sudah bisa gonta ganti kamera dari depan ke belakang posisi video on seperti s24 ultra. Semoga di jawab,serius mo tanya apa kamera ip 17 sudah bisa gonta ganti kamera dari depan ke belakang posisi video on seperti s24 ultra Semoga di jawab,serius mo tanya apa kamera ip 17 sudah bisa gonta ganti kamera dari depan ke belakang posisi video on seperti s24 ultra semoga di jawab,serius mau tanya apa kamera iphone 17 sudah bisa gonta ganti kamera dari depan ke belakang posisi video on seperti s24 ultra semoga di jawab,1,"Seriously, I want to ask whether the iPhone 17 camera can change the camera from front to back in the video on position like the S24 Ultra, hopefully it will be answered"
nonton video dari chanel youtuber cupu dari subscriber nya 90rb skrng udah 700rb aja,nonton video dari chanel youtuber cupu dari subscriber nya 90rb skrng udah 700rb aja,nonton video dari chanel youtuber cupu dari subscriber nya 90rb skrng udah 700rb aja,menonton video dari chanel youtuber cupu dari subscriber ya 90rb sekarang sudah 700rb saja,1,"Watching videos from YouTuber channels is just 90 thousand from subscribing, now it's only 700 thousand"
"BAAANGGG, PLEASE BIKIN VIDEO COMPARE IPHONE 17 PRO MAX SAMA XIAOMI 17 PRO MAX??????????????????????????????????????????????",BAAANGGG PLEASE BIKIN VIDEO COMPARE IPHONE 17 PRO MAX SAMA XIAOMI 17 PRO MAX,baaanggg please bikin video compare iphone 17 pro max sama xiaomi 17 pro max,baaanggg please bikin video compare iphone 17 pro max sama xiaomi 17 pro max,1,baaanggg please bikin video compare iphone 17 pro max sama xiaomi 17 pro max
team iPhone 17 reguler ?,team iPhone 17 reguler ,team iphone 17 reguler ,team iphone 17 reguler,2,team iphone 17 reguler
"Nice sih thumbnail nya, yg ptg klik aja dulu??",Nice sih thumbnail nya yg ptg klik aja dulu,nice sih thumbnail nya yg ptg klik aja dulu,nice sih thumbnail ya yang ptg klik saja dulu,2,"The thumbnail is nice, just click on it first"
batrei iphone 17 pro max Gila sih bisa smpe 11 jam kurang 5 mnit,batrei iphone 17 pro max Gila sih bisa smpe 11 jam kurang 5 mnit,batrei iphone 17 pro max gila sih bisa smpe 11 jam kurang 5 mnit,batrei iphone 17 pro max gila sih bisa sampai 11 jam kurang 5 mnit,2,"The iPhone 17 Pro Max battery is crazy, it can last up to 11 hours and less than 5 minutes"
Susah nih ntr cari iphone 17 pro seken like new,Susah nih ntr cari iphone 17 pro seken like new,susah nih ntr cari iphone 17 pro seken like new,susah nih entar cari iphone 17 pro seken like new,1,It's hard to find a used iPhone 17 Pro like new
bang coba goreng pakai kater kayak bang jerry,bang coba goreng pakai kater kayak bang jerry,bang coba goreng pakai kater kayak bang jerry,abang coba goreng pakai kater kayak abang jerry,1,"Brother, try frying it using a frying pan like Brother Jerry"
jelek seh ipon,jelek seh ipon,jelek seh ipon,jelek sih iphone,0,iPhone is bad
bingung <br>stay di 16pro atau up ke 17pro,bingung stay di 16pro atau up ke 17pro,bingung stay di 16pro atau up ke 17pro,bingung stay di 16pro atau up ke 17pro,1,Confused about staying at 16pro or upgrading to 17pro
"Sering2 pakai Tumbnail ya gayanya varian biar rame bang,, kayak <br><br>1, hp ke gores<br>2, hp panas merah<br>3, hp melembung... <br><br>Hihihi, <br>Konoha suka yg heboh2",Sering2 pakai Tumbnail ya gayanya varian biar rame bang kayak 1 hp ke gores2 hp panas merah3 hp melembung Hihihi Konoha suka yg heboh2,sering2 pakai tumbnail ya gayanya varian biar rame bang kayak 1 hp ke gores2 hp panas merah3 hp melembung hihihi konoha suka yg heboh2,pakai tumbnail ya gayanya varian biar rame abang kayak 1 hp ke gores2 hp panas merah3 hp melembung hihihi konoha suka yang heboh2,1,"Use thumbnails, different styles so it's busy, bro, like 1 cellphone scratches, 2 cellphones get red hot, 3 cellphones bounce, hihihi Konoha, I like the excitement."
aduin ma pipo x200 pro bg,aduin ma pipo x200 pro bg,aduin ma pipo x200 pro bg,aduin sama pipo x200 pro bang,1,double the pipo x200 pro
Xiaomi 17pro max bang,Xiaomi 17pro max bang,xiaomi 17pro max bang,xiaomi 17pro max abang,1,xiaomi 17pro max abang
"Dluar rekam video, gensi n ekosistem masih menang flagship android",Dluar rekam video gensi n ekosistem masih menang flagship android,dluar rekam video gensi n ekosistem masih menang flagship android,diluar rekam video gensi n ekosistem masih menang flagship android,0,"Outside of video recording, the Genshin ecosystem still wins the Android flagship"
Bisa Bypass Charging ga bang?,Bisa Bypass Charging ga bang,bisa bypass charging ga bang,bisa bypass charging tidak abang,1,"Can you bypass charging, bro?"
"Ipon 17 promax &gt;&gt; Poco<br>Ipon air &gt;&gt; gogle pixel<br>?????????? skip aja AI di Ipon! Harga &gt; 20 jt, tanpa AI?!",Ipon 17 promax gtgt PocoIpon air gtgt gogle pixel skip aja AI di Ipon Harga gt 20 jt tanpa AI,ipon 17 promax gtgt pocoipon air gtgt gogle pixel skip aja ai di ipon harga gt 20 jt tanpa ai,iphone 17 promax gtgt pocoipon air gtgt google pixel skip saja ai di iphone harga begitu 20 juta tanpa ai,0,iphone 17 pro max gtg pocophone air gtg google pixel just skip AI on iphone the price is 20 million without AI
Hape puluhan juta tapi magic eraser mengecewakan ??????????,Hape puluhan juta tapi magic eraser mengecewakan ,hape puluhan juta tapi magic eraser mengecewakan ,hape puluhan juta tapi magic eraser mengecewakan,0,tens of millions of cellphones but the magic eraser is disappointing
Click bait,Click bait,click bait,click bait,1,click bait
